País,2017,2018,2019,2020,2021,2022,2023
MOROCCO,11,12,13,3,4,7,10
JAMAICA,4.3,4.5,4.4,1.3,1.6,3.2,4
BELIZE,0.4,0.5,0.5,0.1,0.3,0.4,0.5
AUSTRALIA,9,9.3,9.4,1.9,3.7,6.5,7.2
USA,76.9,79.7,79.4,19.2,22.1,45.5,50.8
MALDIVE ISLANDS,1.3,1.4,1.7,0.6,1,1.6,1.8
TURKS AND CAICOS,1.3,1.4,1.5,0.3,0.8,1.1,1.4
FRENCH POLYNESIA,0.2,0.2,0.2,0.08,0.12,0.18,0.22
TRINIDAD AND TOBAGO,0.4,0.5,0.5,0.1,0.15,0.3,0.4
BAHAMAS,6.6,6.7,7.2,1.7,2.8,4.7,6
INDIA,10.2,10.6,11.3,2.7,4.1,6.6,9.4
SOUTH AFRICA,10.3,10.4,10.2,2.8,3.9,6,8
MEXICO,39.3,41.4,45,24,31.9,38.3,39.8
NEW ZEALAND,3.8,3.9,3.9,0.9,1.2,2.4,3.1
EGYPT,8.3,11.3,13.1,3.5,5.5,8.9,11.7
SPAIN,81.9,82.8,83.7,19,31.1,71.6,80
PORTUGAL,21.2,22.8,24.6,4.9,9.5,15.2,19.1
SAMOA,0.13,0.16,0.18,0.04,0.06,0.1,0.12
COLOMBIA,3.2,3.6,4.1,1.5,2.1,3.5,4.3
ECUADOR,1.5,1.7,1.8,0.4,0.9,1.3,1.7
NEW CALEDONIA,0.11,0.12,0.13,0.02,0.03,0.06,0.08
CUBA,4.7,4.8,4.3,01.08,1.4,2.7,3.3
BRAZIL,6.6,6.9,6.3,2.1,2.8,3.5,4.5
SEYCHELLES,0.34,0.36,0.42,0.13,0.18,0.28,0.4
ARGENTINA,6.7,7.0,7.4,2.3,3.1,5.5,6.1
FIJI,0.84,0.87,0.89,0.19,0.25,0.5,0.8
ENGLAND,37.6,39.2,40.9,11.1,12.3,30,34
JAPAN,28.7,31.2,32.8,4.1,5.7,15.5,25
INDONESIA,14.04,15.8,16.1,04.02,6.1,10.4,13
THAILAND,35.6,38.1,39.8,6.7,8.7,11.4,22
COSTA RICA,3.1,3.6,3.8,01.02,1.7,2.9,3.5
CANADA,20.9,21.1,22.1,5.1,6.1,13.2,16
JORDAN,3.8,4.1,4.6,0.9,1.3,3.0,4.2
ST KITTS / NEVIS,0.11,0.13,0.14,0.05,0.08,0.1,0.12
ST MARTIN,0.1,0.1,0.1,0.05,0.06,0.07,0.08
